t (s),V (mV)
0,19.8553
1.048,19.84
2.098,19.7892
3.148,19.7377
4.16,19.6774
5.16,19.6168
6.16,19.5546
7.16,19.4919
8.161,19.4322
9.161,19.3685
10.16,19.302
11.16,19.2402
12.16,19.1772
13.16,19.1168
14.161,19.0524
15.161,18.99
16.161,18.9281
17.16,18.8612
18.161,18.7993
19.16,18.71
20.16,18.6701
21.16,18.6185
22.16,18.5576
23.16,18.4898
24.16,18.4335
25.16,18.3729
26.16,18.3108
27.161,18.2496
28.16,18.1885
29.16,18.1272
30.16,18.0664
31.161,18.0054
32.161,17.9455
33.16,17.8796
34.161,17.7979
35.16,17.7706
36.16,17.7192
37.16,17.6564
38.16,17.6026
39.161,17.5456
40.161,17.4882
41.16,17.4296
42.16,17.3658
43.161,17.3125
44.161,17.2484
45.16,17.1948
46.16,17.1409
47.161,17.0832
48.161,17.0272
49.16,16.9697
50.161,16.9136
51.16,16.8572
52.16,16.8016
53.161,16.7452
54.161,16.6901
55.16,16.6346
56.16,16.5791
57.16,16.5244
58.161,16.4692
59.161,16.4144
60.16,16.3596
61.16,16.3068
62.16,16.2525
63.16,16.1984
64.16,16.1459
65.16,16.0921
66.16,16.0389
67.16,15.9867
68.16,15.9333
69.16,15.8813
70.161,15.8285
71.161,15.7756
72.161,15.7241
73.16,15.6715
74.16,15.6205
75.16,15.5688
76.16,15.4835
77.16,15.4078
78.16,15.3523
79.161,15.3
80.16,15.2481
81.16,15.194
82.16,15.1423
83.161,15.0902
84.161,15.0385
85.16,14.9871
86.161,14.9408
87.16,14.8938
88.16,14.8414
89.16,14.7955
90.161,14.7352
91.16,14.7122
92.16,14.6676
93.16,14.6187
94.161,14.5698
95.16,14.5218
96.16,14.4741
97.16,14.4263
98.16,14.3809
99.161,14.334
100.16,14.2862
101.16,14.2413
102.161,14.1946
103.16,14.1461
104.161,14.0968
105.16,14.0492
106.16,14.0022
107.16,13.957
108.161,13.9113
109.16,13.8656
110.16,13.8217
111.161,13.7789
112.16,13.7334
113.16,13.6868
114.161,13.6421
115.16,13.5999
116.16,13.5584
117.16,13.5092
118.161,13.4645
119.16,13.4221
120.16,13.3782
121.16,13.3341
122.16,13.2903
123.16,13.2472
124.161,13.205
125.16,13.162
126.16,13.1187
127.161,13.077
128.16,13.0337
129.16,12.9932
130.161,12.9544
131.16,12.9098
132.161,12.8668
133.16,12.8244
134.16,12.7843
135.161,12.7475
136.16,12.705
137.161,12.6613
138.16,12.6188
139.16,12.5794
140.161,12.5418
141.16,12.5048
142.16,12.461
143.161,12.4197
144.16,12.3782
145.16,12.3383
146.161,12.299
147.16,12.2599
148.16,12.2204
149.16,12.1852
150.16,12.1484
151.161,12.1079
152.16,12.0744
153.161,12.0393
154.16,12.0036
155.161,11.963
156.16,11.9176
157.16,11.8758
158.16,11.836
159.16,11.797
160.161,11.7585
161.16,11.7214
162.16,11.6831
163.16,11.644
164.161,11.607
165.16,11.5696
166.161,11.5328
167.16,11.4954
168.161,11.4606
169.16,11.4245
170.161,11.3883
171.16,11.3485
172.161,11.3124
173.16,11.2756
174.161,11.2376
175.16,11.2007
176.16,11.1631
177.16,11.1273
178.16,11.0916
179.161,11.0549
180.16,11.019
181.16,10.9834
182.16,10.9472
183.16,10.9122
184.16,10.8753
185.16,10.8406
186.161,10.8042
187.16,10.7699
188.161,10.7346
189.161,10.6995
190.161,10.6648
191.161,10.6303
192.159,10.5957
193.159,10.5623
194.16,10.527
195.159,10.4934
196.16,10.4603
197.16,10.4263
