t (s),V (mV)
0,18.703
0.974,18.7105
1.909,18.707
2.85,18.6909
3.846,18.6684
4.845,18.6539
5.845,18.6308
6.846,18.6045
7.846,18.5765
8.845,18.5496
9.846,18.5204
10.845,18.4921
11.845,18.4626
12.845,18.4321
13.845,18.4049
14.845,18.3781
15.846,18.3446
16.845,18.3185
17.846,18.2881
18.845,18.2535
19.845,18.2212
20.845,18.1884
21.846,18.1567
22.845,18.1294
23.846,18.099
24.845,18.0666
25.846,18.0319
26.845,18.0002
27.845,17.9716
28.845,17.9378
29.845,17.9058
30.846,17.8754
31.845,17.8488
32.846,17.8142
33.845,17.7823
34.846,17.7505
35.845,17.7238
36.846,17.699
37.845,17.662
38.845,17.6282
39.845,17.5963
40.845,17.5664
41.845,17.5361
42.845,17.507
43.845,17.4746
44.845,17.4416
45.845,17.4094
46.846,17.3805
47.845,17.3499
48.845,17.3184
49.845,17.2883
50.845,17.2574
51.845,17.2279
52.846,17.1973
53.845,17.1669
54.846,17.1386
55.845,17.1093
56.845,17.0798
57.845,17.0483
58.845,17.0175
59.845,16.9878
60.846,16.9583
61.845,16.9294
62.845,16.9
63.845,16.8703
64.845,16.8412
65.846,16.812
66.845,16.7821
67.846,16.7524
68.845,16.7229
69.845,16.6945
70.846,16.6653
71.845,16.6357
72.845,16.6065
73.845,16.5779
74.845,16.5492
75.845,16.5207
76.846,16.493
77.845,16.4645
78.845,16.436
79.845,16.4071
80.846,16.3782
81.845,16.3536
82.845,16.3276
83.845,16.2967
84.845,16.2657
85.845,16.2378
86.846,16.2086
87.845,16.1807
88.846,16.1537
89.845,16.1258
90.845,16.0966
91.846,16.0689
92.845,16.0413
93.846,16.0124
94.845,15.9859
95.845,15.9572
96.845,15.9306
97.846,15.9023
98.845,15.8753
99.846,15.8471
100.845,15.8199
101.845,15.7928
102.845,15.774
103.845,15.7447
104.845,15.7135
105.845,15.685
106.845,15.6582
107.845,15.6329
108.845,15.6053
109.846,15.578
110.845,15.5499
111.845,15.523
112.845,15.4967
113.845,15.4705
114.845,15.4444
115.845,15.4179
116.846,15.3915
117.845,15.3657
118.846,15.3405
119.845,15.3147
120.845,15.288
121.845,15.2638
122.845,15.2387
123.846,15.2118
124.845,15.1858
125.845,15.1629
126.845,15.1396
127.845,15.1156
128.845,15.0891
129.845,15.0631
130.845,15.0381
131.845,15.012
132.845,14.9867
133.846,14.962
134.845,14.9371
135.845,14.9122
136.845,14.8873
137.846,14.8605
138.846,14.8375
139.845,14.813
140.845,14.7867
141.845,14.7607
142.845,14.7357
143.845,14.7104
144.845,14.6845
145.845,14.6594
146.845,14.634
147.845,14.6098
148.845,14.5841
149.846,14.5592
150.845,14.5338
151.845,14.5091
152.845,14.4847
153.845,14.4596
154.845,14.4352
155.845,14.4103
156.845,14.3857
157.845,14.3612
158.845,14.3383
159.845,14.313
160.845,14.2886
161.845,14.2644
162.845,14.2406
163.845,14.2156
164.845,14.1916
165.846,14.1675
166.845,14.143
167.845,14.1194
168.846,14.0944
169.845,14.0703
170.845,14.0463
171.845,14.0222
172.845,13.9977
173.845,13.9744
174.845,13.95
175.845,13.9261
176.845,13.9027
177.845,13.8799
178.846,13.8551
179.845,13.832
180.845,13.8085
181.846,13.7848
182.845,13.7609
183.845,13.7381
184.846,13.7144
185.845,13.6915
186.845,13.6682
187.846,13.645
188.845,13.6225
189.845,13.5998
190.845,13.5775
191.846,13.5545
192.845,13.5316
193.845,13.5091
194.845,13.4866
195.845,13.4646
196.845,13.4417
197.845,13.42
198.846,13.3982
199.846,13.3762
200.845,13.3544
201.846,13.3336
202.845,13.3117
203.845,13.2892
204.845,13.2679
205.845,13.2472
206.845,13.226
207.845,13.2039
208.845,13.204
209.846,13.2068
210.846,13.1878
211.845,13.1478
212.846,13.1138
213.846,13.0903
214.845,13.0658
215.845,13.0423
216.845,13.02
217.845,12.9984
218.845,12.9763
219.845,12.9552
220.846,12.9343
221.846,12.913
222.845,12.8907
223.845,12.8694
224.845,12.8481
225.845,12.8275
226.845,12.8065
227.845,12.7847
228.846,12.7626
229.846,12.7417
230.845,12.7205
231.845,12.6993
232.845,12.6778
233.845,12.6554
234.845,12.6334
235.846,12.6135
236.846,12.5913
237.846,12.5689
238.846,12.548
239.846,12.5267
240.845,12.5056
241.845,12.4841
242.845,12.4639
243.845,12.4439
244.845,12.4238
245.845,12.4033
246.845,12.3836
247.845,12.3652
248.846,12.3458
249.846,12.3259
250.846,12.3043
251.845,12.2839
252.845,12.2649
253.845,12.245
254.846,12.2258
255.846,12.2046
256.845,12.1829
257.845,12.1616
258.845,12.1396
259.845,12.1193
260.845,12.0986
261.846,12.079
262.846,12.0586
263.846,12.0375
264.846,12.0172
265.846,11.9967
266.846,11.9777
267.845,11.9576
268.845,11.9388
269.846,11.9199
270.846,11.9006
271.845,11.8804
272.845,11.8614
273.845,11.8419
274.845,11.8232
275.845,11.8033
276.845,11.7842
277.846,11.7659
278.846,11.7472
279.846,11.7262
280.846,11.705
281.846,11.685
282.846,11.6649
283.845,11.6458
284.845,11.6254
285.845,11.6065
286.845,11.5876
287.845,11.5688
288.845,11.5493
289.845,11.5297
290.845,11.511
291.845,11.4922
292.845,11.4736
293.845,11.4564
294.846,11.4388
295.846,11.4201
296.845,11.4012
297.845,11.3827
298.845,11.3641
299.845,11.3452
300.845,11.3276
301.845,11.3089
302.845,11.2908
303.846,11.2722
304.846,11.2538
305.845,11.2354
306.845,11.2174
307.846,11.1994
308.845,11.1821
309.845,11.1616
310.845,11.1409
311.846,11.1216
312.845,11.1035
313.845,11.0844
314.846,11.0654
315.845,11.0473
316.845,11.0287
317.846,11.0111
318.846,10.9931
319.845,10.9761
320.845,10.9579
321.846,10.9402
322.845,10.9222
323.845,10.9055
324.846,10.8886
325.845,10.8705
326.845,10.8534
327.845,10.8363
328.846,10.8181
329.846,10.8006
330.845,10.7831
331.845,10.7652
332.845,10.7478
333.846,10.7307
334.845,10.7133
335.845,10.6947
336.846,10.6775
337.846,10.659
338.845,10.6418
339.845,10.6252
340.845,10.6074
341.844,10.5897
342.845,10.5708
343.844,10.5505
344.845,10.5325
345.844,10.5152
346.844,10.4978
347.844,10.4807
348.845,10.4641
349.845,10.487
350.845,10.4564
351.844,10.425
352.844,10.4022
353.844,10.3812
354.844,10.3626
355.844,10.3452
356.844,10.3284
357.844,10.3121
358.845,10.2953
359.844,10.2793
360.844,10.2622
361.845,10.2463
362.844,10.2293
363.844,10.2134
364.845,10.1982
365.844,10.1818
366.844,10.1658
367.844,10.1488
368.844,10.1316
369.844,10.1149
370.844,10.1014
371.844,10.0851
372.844,10.0676
373.844,10.0511
374.844,10.0342
375.844,10.0178
376.844,10.0011
377.847,9.9846
378.845,9.9687
