t (s),V (mV)
0,17.2901
1.002,17.2433
2.002,17.1995
3.002,17.1476
4.001,17.0897
5.001,17.0315
6.002,16.9721
7.001,16.912
8.002,16.8527
9.002,16.791
10.001,16.7284
11.001,16.6676
12.002,16.6076
13.001,16.5456
14.001,16.4903
15.001,16.4304
16.001,16.3642
17.001,16.3005
18.002,16.2381
19.002,16.1773
20.001,16.1171
21.001,16.0565
22.001,15.9974
23.001,15.9383
24.001,15.8769
25.002,15.8169
26.002,15.7574
27.001,15.6993
28.002,15.6399
29.001,15.5812
30.002,15.5213
31.002,15.4645
32.001,15.4051
33.002,15.3465
34.001,15.2896
35.001,15.2325
36.001,15.1763
37.001,15.1185
38.001,15.0654
39.001,15.0071
40.001,14.9491
41.001,14.8928
42.002,14.8378
43.001,14.7817
44.001,14.7257
45.002,14.6774
46.001,14.6191
47.001,14.5632
48.001,14.5088
49.002,14.4546
50.001,14.4004
51.001,14.3479
52.001,14.2953
53.001,14.2437
54.002,14.1908
55.001,14.1388
56.002,14.087
57.001,14.0355
58.001,13.9838
59.001,13.9317
60.001,13.8804
61.001,13.8298
62.002,13.7782
63.001,13.7275
64.001,13.6775
65.001,13.627
66.002,13.5895
67.001,13.5463
68.001,13.4851
69.001,13.4295
70.002,13.3773
71.001,13.328
72.001,13.2775
73.001,13.2292
74.001,13.1794
75.001,13.1307
76.001,13.0819
77.001,13.0332
78.001,12.985
79.001,12.938
80.001,12.8901
81.001,12.8421
82.001,12.7944
83.001,12.7476
84.001,12.7005
85.001,12.6539
86.002,12.6069
87.001,12.5607
88.001,12.5143
89.002,12.4678
90.001,12.4221
91.001,12.3763
92.001,12.3314
93.002,12.2863
94.001,12.2416
95.001,12.1965
96.002,12.1521
97.001,12.1073
98.001,12.0634
99.002,12.0194
100.001,11.9744
101.001,11.9316
102.001,11.8874
103.001,11.8443
104.001,11.8012
105.002,11.7586
106.001,11.7155
107.002,11.6725
108.001,11.6293
109.001,11.5879
110.002,11.5452
111.002,11.5034
112.001,11.4616
113.001,11.4196
114.001,11.3779
115.002,11.3368
116.001,11.2959
117.002,11.2543
118.001,11.2137
119.002,11.1782
120.001,11.134
121.001,11.0926
122.002,11.0521
123.001,11.012
124.002,10.9713
125.002,10.9318
126.002,10.8928
127.001,10.8528
128.001,10.814
129.002,10.7741
130.001,10.7351
131.001,10.6966
132.001,10.6575
133.001,10.6192
134,10.5813
135,10.543
136,10.5035
137,10.4672
138,10.429
139,10.3921
140,10.355
141.001,10.3179
142,10.2803
143,10.2429
144,10.2066
145,10.1699
146,10.1347
147.001,10.0973
148.001,10.0614
149,10.0257
150.001,9.9899
151.001,9.9544
152.002,9.9188
153.001,9.8845
154.001,9.85
155.001,9.8146
156.001,9.7812
157.002,9.7455
158.001,9.7109
159.001,9.6774
160.001,9.6412
161.001,9.6049
162.001,9.5697
163.002,9.5366
164.001,9.502
165.002,9.4675
166.001,9.4345
167.002,9.4008
168.001,9.3648
169.002,9.3305
170.001,9.2966
171.001,9.2624
172.002,9.2293
173.001,9.194
174.002,9.1612
175.001,9.1278
176.001,9.0938
177.001,9.0611
178.002,9.0294
179.001,8.9959
180.001,8.9639
181.001,8.9326
182.002,8.8999
183.002,8.8681
184.001,8.837
185.001,8.806
186.001,8.776
