t (s),V (mV)
0,16.8216
1.049,16.7581
2.084,16.6331
3.084,16.4657
4.084,16.3809
5.083,16.3001
6.083,16.2199
7.083,16.1403
8.084,16.0605
9.083,15.9809
10.083,15.9015
11.083,15.8221
12.083,15.742
13.084,15.663
14.083,15.5836
15.083,15.5053
16.083,15.4265
17.083,15.3496
18.083,15.2728
19.083,15.1966
20.083,15.1195
21.083,15.0422
22.083,14.9668
23.083,14.8921
24.083,14.817
25.084,14.7427
26.084,14.6688
27.083,14.5962
28.083,14.5245
29.083,14.4544
30.083,14.3811
31.083,14.2434
32.083,14.1798
33.083,14.1094
34.084,14.0356
35.083,13.9649
36.083,13.8939
37.083,13.8248
38.083,13.7555
39.083,13.6963
40.084,13.6313
41.083,13.5595
42.083,13.4951
43.083,13.4321
44.083,13.3702
45.083,13.3021
46.083,13.2428
47.084,13.1774
48.083,13.1025
49.083,13.0298
50.084,12.9614
51.083,12.8951
52.083,12.8393
53.084,12.7893
54.083,12.7179
55.084,12.6512
56.083,12.5834
57.083,12.52
58.084,12.4632
59.083,12.3995
60.083,12.335
61.084,12.2725
62.083,12.2106
63.084,12.1492
64.083,12.0906
65.083,12.0323
66.084,11.9762
67.083,11.9253
68.084,11.8586
69.083,11.7965
70.083,11.7376
71.084,11.6782
72.083,11.6207
73.084,11.564
74.083,11.5083
75.083,11.4508
76.083,11.3939
77.083,11.3387
78.083,11.2833
79.083,11.2277
80.084,11.1744
81.083,11.1178
82.083,11.0644
83.083,11.0097
84.083,10.9561
85.084,10.9023
86.083,10.8495
87.083,10.7952
88.083,10.7435
89.083,10.6999
90.083,10.6541
91.083,10.5914
92.083,10.5343
93.082,10.482
94.082,10.4308
95.082,10.3787
96.083,10.3278
97.082,10.2775
98.082,10.229
99.082,10.1803
100.082,10.1298
101.082,10.0791
102.083,10.0289
103.083,9.9794
104.084,9.9313
105.083,9.8821
106.083,9.8337
107.083,9.7855
108.084,9.739
109.083,9.6903
110.083,9.6428
111.084,9.5965
112.083,9.5489
113.083,9.5018
114.084,9.4551
115.083,9.4087
116.083,9.3617
117.084,9.3164
118.083,9.2706
119.083,9.2251
120.083,9.1798
121.083,9.1366
122.084,9.0963
123.083,9.0526
124.083,9.0045
125.084,8.9588
126.083,8.9155
127.084,8.8714
128.083,8.8276
129.083,8.785
130.084,8.7423
