WL/nm,Abs
302.00,0.997
301.00,1.036
300.00,1.071
299.00,1.103
298.00,1.133
297.00,1.157
296.00,1.178
295.00,1.197
294.00,1.213
293.00,1.226
292.00,1.236
291.00,1.243
290.00,1.248
289.00,1.252
288.00,1.254
287.00,1.255
286.00,1.253
285.00,1.252
284.00,1.252
283.00,1.251
282.00,1.250
281.00,1.253
280.00,1.251
279.00,1.254
278.00,1.254
277.00,1.257
276.00,1.260
275.00,1.265
274.00,1.273
273.00,1.282
272.00,1.293
271.00,1.310
270.00,1.327
269.00,1.350
268.00,1.376
267.00,1.408
266.00,1.444
265.00,1.486
264.00,1.535
263.00,1.587
262.00,1.642
261.00,1.702
260.00,1.758
259.00,1.819
258.00,1.875
257.00,1.932
256.00,1.986
255.00,2.035
254.00,2.081
253.00,2.118
252.00,2.151
251.00,2.177
250.00,2.196
249.00,2.211
248.00,2.227
247.00,2.238
246.00,2.242
245.00,2.252
244.00,2.259
243.00,2.267
242.00,2.280
241.00,2.299
240.00,2.308
239.00,2.318
238.00,2.333
237.00,2.335
236.00,2.346
235.00,2.342
234.00,2.339
233.00,2.337
232.00,2.345
231.00,2.348
230.00,2.364
229.00,2.367
228.00,2.388
227.00,2.414
226.00,2.440
225.00,2.493
224.00,2.553
223.00,2.627
222.00,2.724
221.00,2.876
220.00,3.096
219.00,3.447
218.00,3.825
217.00,3.994
216.00,3.964
215.00,3.968
214.00,4.000
213.00,3.984
212.00,4.000
211.00,3.996
210.00,3.961
209.00,3.970
208.00,3.997
207.00,3.978
206.00,4.000
205.00,3.974
204.00,3.984
203.00,3.944
202.00,3.972
201.00,3.999
200.00,3.984
